id,lane,posX,posY,angle,tool
M6424VG500295,front,-120.42,150.303,-27.4555,CFD_IIS_Matching.xml
M6424VG500505,front,150.039,-135.144,-4.25548,CFD_IIS_Matching.xml
M6424VG500503,front,-238.998,266.808,-23.8516,CFD_IIS_Matching.xml
M6424VG500500,front,242.601,-228.545,-26.1879,CFD_IIS_Matching.xml
M6424VG500490,front,-16.8858,23.8259,-3.81609,CFD_IIS_Matching.xml
M6424VG500515,front,247.544,-234.407,-23.0662,CFD_IIS_Matching.xml
M6424VG500532,front,163.355,-146.803,-14.3468,CFD_IIS_Matching.xml
M6424VG500487,front,-238.636,274.214,-12.2888,CFD_IIS_Matching.xml
M6424VG500489,front,252.833,-233.048,-24.9146,CFD_IIS_Matching.xml
M6424VG500492,front,-237.43,275.189,-7.25594,CFD_IIS_Matching.xml
M6424VG500299,front,-12.2562,17.8735,-27.856,CFD_IIS_Matching.xml
M6424VG500537,front,-132.578,165.761,-1.48636,CFD_IIS_Matching.xml
M6424VG500512,front,-242.147,268.182,-2.72517,CFD_IIS_Matching.xml
M6424VG500497,front,-130.601,152.679,1.39151,CFD_IIS_Matching.xml
M6424VG500535,front,166.044,-144.074,-12.9603,CFD_IIS_Matching.xml
M6424VG500534,front,-23.5006,13.3003,-6.41509,CFD_IIS_Matching.xml
M6424VG500531,front,-16.9894,20.4834,-14.4996,CFD_IIS_Matching.xml
M6424VG500495,front,-14.8723,24.2485,1.7801,CFD_IIS_Matching.xml
M6424VG500509,front,247.654,-243.006,-24.6043,CFD_IIS_Matching.xml
M6424VG500506,front,171.843,-147.648,-6.24292,CFD_IIS_Matching.xml
M6424VG500493,front,-119.96,154.325,-48.1471,CFD_IIS_Matching.xml
M6424VG500295,rear,-117.729,147.826,-0.0962339,CFD_IIS_Matching.xml
M6424VG500505,rear,153.021,-133.125,9.83989,CFD_IIS_Matching.xml
M6424VG500503,rear,-239.883,270.542,-40.2454,CFD_IIS_Matching.xml
M6424VG500500,rear,246.448,-228.719,-23.9385,CFD_IIS_Matching.xml
M6424VG500490,rear,-15.0747,22.0008,-26.2746,CFD_IIS_Matching.xml
M6424VG500515,rear,247.882,-236.996,-22.1886,CFD_IIS_Matching.xml
M6424VG500532,rear,163.546,-146.373,-17.5148,CFD_IIS_Matching.xml
M6424VG500487,rear,-243.447,275.48,-10.3792,CFD_IIS_Matching.xml
M6424VG500489,rear,253.264,-234.544,-21.7545,CFD_IIS_Matching.xml
M6424VG500492,rear,-240.768,277.707,-15.1709,CFD_IIS_Matching.xml
M6424VG500299,rear,-11.317,19.0695,-27.4955,CFD_IIS_Matching.xml
M6424VG500537,rear,-132.907,166.591,-4.30451,CFD_IIS_Matching.xml
M6424VG500512,rear,-240.91,266.356,-10.5559,CFD_IIS_Matching.xml
M6424VG500497,rear,-131.728,154.747,-28.4283,CFD_IIS_Matching.xml
M6424VG500535,rear,165.407,-144.351,-13.007,CFD_IIS_Matching.xml
M6424VG500534,rear,-23.7199,14.335,-18.9471,CFD_IIS_Matching.xml
M6424VG500531,rear,-16.9946,21.0702,9.21981,CFD_IIS_Matching.xml
